,Residential,Industrial,Longitude,Latitude
Barking and Dagenham,"£8,110,000","£4,500,000",0.1294792014,51.54555607
Barnet,"£14,520,000","£6,000,000",-0.2181966982,51.61107207
Bexley,"£7,640,000","£4,250,000",0.1462124221,51.45822629
Brent,"£24,080,000","£6,000,000",-0.2756872576,51.56438726
Bromley London,"£12,860,000","£4,250,000",0.03924569732,51.37266303
Camden,"£74,020,000","£6,000,000",-0.1629095122,51.54305452
City of London,"£128,050,000","£6,000,000",-0.09351899617,51.51564373
Croydon,"£12,315,000","£4,250,000",-0.07761733079,51.36598654
Ealing,"£21,310,000","£6,000,000",-0.3141011246,51.52442517
Enfield,"£11,220,000","£4,500,000",-0.08144241864,51.64889623
Greenwich,"£20,400,000","£4,250,000",0.05009254687,51.46393968
Hackney,"£39,690,000","£4,500,000",-0.06045779992,51.55492948
Hammersmith & Fulham,"£56,455,000","£6,000,000",-0.2173513699,51.48733074
Haringey,"£24,310,000","£4,500,000",-0.1067006149,51.58771711
Harrow,"£14,540,000","£6,000,000",-0.3359875781,51.59467146
Havering,"£7,610,000","£4,500,000",0.2353681465,51.56519666
Hillingdon,"£11,650,000","£6,000,000",-0.4417944193,51.53663981
Hounslow,"£16,365,000","£6,000,000",-0.3785500253,51.46238647
Islington,"£53,025,000","£6,000,000",-0.1098963877,51.5454679
Kensington & Chelsea,"£161,475,000","£6,000,000",-0.1897808884,51.49644965
Kingston upon Thames,"£21,235,000","£4,000,000",-0.2836785267,51.39296243
Lambeth,"£36,295,000","£6,000,000",-0.1138508949,51.46445307
Lewisham,"£32,800,000","£4,250,000",-0.01734440016,51.44230234
Merton,"£21,465,000","£4,000,000",-0.1886867631,51.41058807
Newham,"£19,530,000","£4,500,000",0.02726094426,51.53149529
Redbridge,"£11,800,000","£4,500,000",0.07008506919,51.58588168
Richmond upon Thames,"£24,600,000","£4,000,000",-0.289139974,51.44035205
Southwark,"£38,670,000","£6,000,000",-0.0730882912,51.46594822
Sutton,"£10,980,000","£4,000,000",-0.1722651322,51.3575547
Tower Hamlets,"£39,885,000","£4,500,000",-0.03647563841,51.51554754
Waltham Forest,"£16,000,000","£4,500,000",-0.01880306085,51.59461929
Wandsworth,"£44,575,000","£6,000,000",-0.2002167294,51.45240222
Westminster,"£135,715,000","£6,000,000",-0.1529530111,51.51221519
